title,remote_image_url,url,location,description
A Rabbit-Hole Hideaway in NYC,http://www.livehotspotnyc.com/sites/default/files/rabbit.png,https://plus.google.com/116048131033291015775/about?gl=us&hl=en,"124 MacDougal Street, New York, 10012 ","124 Old Rabbit Club is a fun lively setting featuring various Indie bands. This is a great beer hop for beer lovers and music lovers. Location: NYC on 124 MacDouglal Street. Hours are M–Th 6pm–2am, F–Sa 6pm–4am, Su 6pm–2am.  "
Administer Alcohol at at Apotheke,http://www.apothekenyc.com/sites/default/files/home-img2.jpg,http://www.apothekenyc.com,"9 Doyers St,  New York, NY 10013","If you're pining for a cocktail after a visit to China Town, try Apotheke, which offers a delicious variety of specialty cocktails. A great venue with unique theme, decorations and atmosphere. Over 250 cocktails made with exotic herbs and fruits are prescribed from the bar."
Relax at the Richardson,http://nyc.thedrinknation.com/images/bars/richardsonbrooklyn.jpg,http://www.therichardsonnyc.com/‎,"451 Graham Ave, Brooklyn, NY 11222","The Richardson offers a relaxing atmosphere if you're looking for a quiet evening.  It has reasonably-priced drinks and snacks, a laid-back crowd, and a heap of history.  

Get cozy in its elegant wood paneling and romantic lighting - enjoy skillfully-prepared cocktails and an easy ambiance."
Angel's Share Above Village Yokocho,http://citysip.com/wp-content/uploads/2013/02/angels_share_nyc.jpg,https://www.facebook.com/pages/Angels-Share/534149856600355?rf=120128114705530,"8 Stuyvesant St, New York, NY 10003","This speakeasy, located inside Japanese fast food joint, Village Yokocho, is a hip East Village bar tucked away from the public eye. 

Groups of less than four can venture over after dinner for some creative cocktails with attention to detail. Hand-cut ice and a selection of hot drinks run the gamut of cocktails. You are best served to come on a weekday from 7-9 PM to avoid crowds. Not one to miss. "
Put Death + Company on Your Bucket List,http://graphics8.nytimes.com/images/2011/05/13/dining/dj-cocktailclassic/dj-cocktailclassic-blog480.jpg,http://www.deathandcompany.com/lounge/,"433 E 6th St, New York","Death + Company is known for the best made drinks in New York, but because of this you may experience a wait.  

You sure will be glad you did when your drink gets delivered!  This polished bar offers expertly crafted cocktails in generous portions.  Death + Company is first come, first served. Dress up, arrive early, and be prepared for a wait."
Jazzy Red Velvet at The Manderley Bar,http://listbattle.com/sites/default/files/styles/list_image_full/public/list_items/2013/01/09/ea01a77022.jpg,http://www.sleepnomorenyc.com/,"530 W 27th St (between 10th and 11th Ave), New York, NY 10001","The Manderley Bar, located at the McKittrick Hotel, transports guests to another time and place.  Enjoy the live entertainment in this speakeasy lounge. 

Low cocktail tables and candlelight will lure you into the age of Jazz. Enter through the velvet curtained bar and enjoy an absinthe spiked beverage."
A Taste of Prohibition at Bathtub Gin,http://travelbrowsing.files.wordpress.com/2013/06/bg_interior3.jpg,http://bathtubginnyc.com/,"132 Ninth Ave, New York","The Bathtub Gin has to be the most classy place in New York.  Its rich décor is a true compliment to the prohibition time.  

You can experience prohibition again behind a trick door inside Street Coffee Company at 132 Ninth Ave, New York.  Their hours are Sun-Wed 6pm-2am, Thu-Sat 6pm-4am.  "
Hotel Delmano for a Real 20's Feel,http://www.noahkalina.com/interiors/archives/images/200801/Hotel%20Delmano.jpg,http://www.hoteldelmano.com,"82 Berry St, Brooklyn, NY 11211","This elegant yet relaxed speakeasy at Hotel Delmano is inspired more by the luxurious decadence of the prohibition era than the secretive culture (there is no password or craftily hidden door). Located in Williamsburg this is a great spot to indulge in some light fare and a few Old Fashioned's after dinner. 

As one of the original bars that brought about the speakeasy revival, Hotel Delmano delivers a truly elegant social club type feel and invites you to enjoy it as such. While not actually a hotel, you will feel very comfortable spending most of the night there."
Drinks and Jazz at Little Branch,http://guestofaguest.com/wp-content/uploads/2012/10/little-branch.jpg,http://www.yelp.com/biz/little-branch-new-york,"22 Seventh Avenue S. (at Leroy Street), Brooklyn, NY 11249","Go to Little Branch for an off-the-beaten-path hang out with your friends. Get  the bartender's choice, they know their stuff! 

If you arrive by  9:00 or 10:00 pm you can listen to live jazz while having your favorite drink. Don't forget cash!"
PDT Bar - Just because there is nothing to say,http://pdtnyc.com/pdt_files/main_files/pdt_splash.jpg,http://pdtnyc.com/,"113 St Marks Pl, New York, NY","At PDT you can try not only different delicious cocktails, but order food. If you want to get in, arrive at 6pm, 1am, or make a reservation. 

You can call when lines open at 3p.m, but be persistent. Enter through the secret door, inside the phone booth in Criff Dogs, hot dog bar in the East Village."
Employees Only Isn't Only for Employees,http://atfirstbite.files.wordpress.com/2010/03/employees-only.jpg,http://www.employeesonlynyc.com/,"510 Hudson St. New York, NY","Employees Only bar is also a restaurant, offering reservations for dining, but not for drinks. Bartenders in white chef's jacket provide a great menu, full of great choices will wait for you."
The Luxury of Lantern's Keep,http://www.newyork.com/articles/wp-content/uploads/2013/11/rene-hidalgo-lanterns-keep-2_650.jpg,http://www.iroquoisny.com/lanternskeep,"The Iroquois Hotel 49 West 44th Street, New York, NY 10036","Tucked away inside the Iroquois Hotel, Lantern's Keep is a first class experience. Enjoy the 20th Century feel while you lounge in this unique bar. 

This secluded environment with delicious drinks and perfect portions is a great place for a first date."
