title,remote_image_url,location,url,description
Rock Out at The Rock Shop,http://www.brooklynvegan.com/img/music2/rockshop.jpg,"249 4th Ave, Brooklyn, NY 11215",http://www.therockshopny.com,"The Rock shop has a great variety live music - check out what's on offer now on their website. They are mostly known for having great music, but the hidden gem is the view from the roof top.

The Rock Shops roof has a great view of the World Trade Center and other NYC landmarks. Drink specials for those on a budget as well."
Get Breezy at the Top of The Strand,http://www.topofthestrand.com/content/photo-gallery,"33 West 37th St, New York, NY 10018, United States",http://www.topofthestrand.com/,"Great drinks, great DJs and a killer view of the Empire State Building. Top of The Strand is open all year - though it is unsurprisingly packed in the Summer.

Cocktails $15 and beers $9, which is pretty standard for NYC. Head there on a week night or in the Winter, or make a resrevation, promises to be packed out in the Summer. "
Sip in the Empire's Shadow,http://4.bp.blogspot.com/-w7YL8C9PNs0/UATYrjg25tI/AAAAAAAAEAg/CQbD6BZWo9s/s1600/2012-07-13%2B19.00.30.jpg,"La Quinta Manhattan Hotel,  17 west 32 Street,  New York, NY 10001",http://vunyc.com,"Relaxing atmosphere with no cover and no dress code as you enjoy drinks in the shadow of the Empire State Building. Possibly the most chilled out rooftop in Manhattan.  

On the 14th floor, above La Quinta hotel with no doorman to negotiate.  

There's Heat lamps, retractable awnings, and hot drinks to keep you cozy and warm even on the coldest nights.  

Daily happy hour from 5p-7p and ALL DAY Sunday. Enjoy a stunning view of the Empire State Building as you enjoy reasonably priced drinks from their fun cocktail menu."
Atop the Refinery Hotel,http://www.refineryhotelnewyork.com/sites/default/files/styles/masthead_image/public/130715_Refinery_RooftopBar_16347.jpg,"63 West 38th St,  New York, NY 10018",http://www.refineryhotelnewyork.com/refinery-rooftop,"The Refinery Rooftop boasts eclectic views of the New York skyline, a cool vibe and friendly staff once past the doormen. 

Cozy winter settings (enjoy the porch swings) for intimate dates, open and inviting in the summer."
Hide Out at the Bleeker Heights Tavern,http://www.localbozo.com/wp-content/flagallery/drink-here-now-bleecker-street-tavern/img_9636.jpg,"296 Bleecker St, New York, NY 10014",http://bleeckerheights.com/,"Located above Five Guys, the Bleeker Heights Tavern is a great place to unwind and watch the game on one of 6 plasma screens. 

 With a laid back atmosphere it is the perfect place to grab a beer from one of their 14 taps - including local Brooklyn Lager and Delirium Tremens. Patrons can even order burgers from Five Guys and have it brought up to the bar.

To get there, go into The Five Guys and up the stairs - how's that for hidden?"
Brews at the Chelsea Brewing Company,http://www.inetours.com/New_York/Images/Beer/Chelsea_5422.jpg,"Chelsea Piers, Pier 59, New York City, New York 10011",http://www.chelseabrewingco.com,"The Chelsea Brewing Company features a beautiful dining area with high ceilings and bar that overlooks the Hudson. They have over 20 natural premium hand crafted ales, so you're bound to find a beer that's just right for you. 

You'll want to arrive early as this bar is very popular, especially on game nights. "
Wallets Out at Warren 77,http://farm5.staticflickr.com/4050/4224870891_d6862af6b1.jpg,"77 Warren St, Manhattan NY",http://www.warren77nyc.com/,"Warren 77 is what you might expect from a sports bar this far down Manhattan. It's Tribeca location, dark wood interior, black leather booths, and vintage sports paraphernalia great a homely and comfortable atmosphere. 

The bar menu is especially popular and don't forget to order those famous nachos. If you are looking for a place to watch the game a bit more plush than your average bar, then Warren 77 is the place for you. It's especially popular with Hockey fans. "
Grab a Burger at Mullanes Bar & Grill,http://drinkingbrooklyn.com/wp-content/uploads/2010/04/IMG_0518.jpg,"71 Lafayette Avenue Brooklyn, New York 11217",http://www.mullanesbrooklyn.com,"Mullanes bar and grill located in Brooklyn, NY is a great little neighborhood sports bar. 

With 8 huge plasma TVs, Mullanes will have your sports viewing needs covered. The prices are very reasonable. I like this bar for their famous and mouth watering Mullanes burger."
Beers on Bleeker at Bleeker Street Bar,http://guestofaguest.com/wp-content/uploads/2012/10/bleecker-street-tarzana-los-angeles-1.jpg,"58 Bleecker St, Manhattan, New York",http://bleeckerstreetbarnyc.com/,"Bleecker Street Bar is a great neighborhood bar with entertainment for everyone. The bar features dart boards, pool tables, a photo booth, and Big Buck Hunter. 

Decidedly more low-key and calm than many divier sports bars and thus more comfortable and intimate. The happy hour specials are well-known and bring in a crowd for the three dollar Yuenglings."
Plasma Paradise at Tonic,http://cdnl.complex.com/mp/620/400/80/0/bb/1/ffffff/3c5e71c63b0b4e7a94b0e3199c395078/images_/assets/CHANNEL_IMAGES/CITY_GUIDE/2012/09/the-25-best-sports-bars-in-nyc/tonicmidtown_313675.jpg,727 7th Ave. Manhattan NY,http://www.tonicbarnyc.com/,"Tonic bar features great views of Midtown Manhattan including the Empire State Building and the Chrysler Building. 

There are three floors with bright plasma screens everywhere so you don't miss a minute of the game. A full menu and great bar food keep customers coming back. Great atmosphere including leather booths and mood lighting enhance your sports viewing experience."
Super Screen at Studio Square,http://boromag.com/wp-content/uploads/2013/01/6a00e5537d966288330120a634eef7970c-500wi.jpeg,"35-33 36th St, New York, NY 11106",http://www.studiosquarenyc.com/,"Studio Square is for people who love catching the big game on their giant screen and drinking from their amazing beer selection. 

It's a very American twist on the classic German beer hall-- beautiful long benches for communal seating, great food in a lively outdoor atmosphere. This is the best place to spend those hot summer nights when you want to get out and have some fun. Service is great and the prices are pretty reasonable, too."
